timestamp, name, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu
2026/08/03 13:56:55.983, NVIDIA GeForce RTX 4090, P8, 44 %, 3 %, 864 MiB, 210 MHz, 405 MHz, 13.55 W, 450.00 W, 36
2026/08/03 13:56:56.206, NVIDIA GeForce RTX 4090, P8, 44 %, 2 %, 864 MiB, 210 MHz, 405 MHz, 13.29 W, 450.00 W, 36
2026/08/03 13:56:56.413, NVIDIA GeForce RTX 4090, P8, 44 %, 2 %, 864 MiB, 210 MHz, 405 MHz, 12.84 W, 450.00 W, 36
2026/08/03 13:56:56.618, NVIDIA GeForce RTX 4090, P8, 41 %, 2 %, 864 MiB, 210 MHz, 405 MHz, 12.25 W, 450.00 W, 36
2026/08/03 13:56:56.828, NVIDIA GeForce RTX 4090, P8, 45 %, 3 %, 864 MiB, 210 MHz, 405 MHz, 12.09 W, 450.00 W, 36
2026/08/03 13:56:57.052, NVIDIA GeForce RTX 4090, P8, 46 %, 3 %, 864 MiB, 210 MHz, 405 MHz, 11.96 W, 450.00 W, 36
2026/08/03 13:56:57.271, NVIDIA GeForce RTX 4090, P8, 33 %, 2 %, 864 MiB, 210 MHz, 405 MHz, 11.84 W, 450.00 W, 36
2026/08/03 13:56:57.476, NVIDIA GeForce RTX 4090, P8, 36 %, 2 %, 864 MiB, 210 MHz, 405 MHz, 11.60 W, 450.00 W, 36
2026/08/03 13:56:57.682, NVIDIA GeForce RTX 4090, P8, 31 %, 2 %, 864 MiB, 210 MHz, 405 MHz, 11.61 W, 450.00 W, 36
2026/08/03 13:56:57.891, NVIDIA GeForce RTX 4090, P8, 36 %, 2 %, 864 MiB, 210 MHz, 405 MHz, 11.46 W, 450.00 W, 36
2026/08/03 13:56:58.095, NVIDIA GeForce RTX 4090, P8, 41 %, 3 %, 865 MiB, 210 MHz, 405 MHz, 11.60 W, 450.00 W, 36
2026/08/03 13:56:58.300, NVIDIA GeForce RTX 4090, P8, 44 %, 1 %, 865 MiB, 210 MHz, 405 MHz, 11.76 W, 450.00 W, 36
2026/08/03 13:56:58.504, NVIDIA GeForce RTX 4090, P8, 45 %, 2 %, 865 MiB, 210 MHz, 405 MHz, 11.95 W, 450.00 W, 36
2026/08/03 13:56:58.738, NVIDIA GeForce RTX 4090, P8, 46 %, 2 %, 865 MiB, 210 MHz, 405 MHz, 12.12 W, 450.00 W, 36
2026/08/03 13:56:58.943, NVIDIA GeForce RTX 4090, P8, 44 %, 2 %, 865 MiB, 210 MHz, 405 MHz, 12.26 W, 450.00 W, 36
